id,teacher id,lesson_datetime,status
1,110250,2020-01-11 17:00:00,1
2,110250,2020-01-11 16:30:00,1
3,110250,2020-01-10 16:00:00,1
4,110011,2020-01-10 17:00:00,1
5,110011,2020-01-10 21:00:00,2
6,110011,2020-01-10 23:00:00,3
7,110030,2020-01-10 21:30:00,1
8,110030,2020-01-10 20:00:00,1
9,110030,2020-01-10 19:30:00,1
10,110023,2020-01-07 17:00:00,1
11,110023,2020-01-06 17:00:00,1
12,110023,2020-01-08 16:30:00,2
13,110033,2020-01-07 15:30:00,1
14,110033,2020-01-06 16:30:00,2
15,110033,2020-01-07 10:30:00,1
